Date	Amount
1/31/1985 16:00:00	0.017970
2/28/1985 16:00:00	0.018249
3/29/1985 16:00:00	0.017846
4/30/1985 16:00:00	0.017853
5/31/1985 16:00:00	0.018414
6/28/1985 16:00:00	0.018675
7/31/1985 16:00:00	0.018906
8/30/1985 16:00:00	0.018591
9/30/1985 16:00:00	0.017431
10/31/1985 16:00:00	0.017957
11/29/1985 16:00:00	0.019518
12/31/1985 16:00:00	0.020390
1/31/1986 16:00:00	0.020389
2/28/1986 16:00:00	0.021451
3/31/1986 16:00:00	0.022641
4/30/1986 16:00:00	0.023449
5/30/1986 16:00:00	0.024586
6/30/1986 16:00:00	0.024392
7/31/1986 16:00:00	0.021602
8/29/1986 16:00:00	0.022543
9/30/1986 16:00:00	0.020338
10/31/1986 16:00:00	0.021265
11/28/1986 16:00:00	0.021685
12/31/1986 16:00:00	0.020628
1/30/1987 16:00:00	0.024204
2/27/1987 16:00:00	0.026430
3/31/1987 16:00:00	0.026777
4/30/1987 16:00:00	0.026482
5/29/1987 16:00:00	0.026929
6/30/1987 16:00:00	0.026868
7/31/1987 16:00:00	0.027744
8/31/1987 16:00:00	0.029479
9/30/1987 16:00:00	0.028774
10/30/1987 16:00:00	0.020911
11/30/1987 16:00:00	0.019024
12/31/1987 16:00:00	0.021574
1/29/1988 16:00:00	0.021876
2/29/1988 16:00:00	0.023631
3/31/1988 16:00:00	0.023598
4/29/1988 16:00:00	0.023856
5/31/1988 16:00:00	0.023400
6/30/1988 16:00:00	0.025395
7/29/1988 16:00:00	0.024233
8/31/1988 16:00:00	0.022759
9/30/1988 16:00:00	0.023764
10/31/1988 16:00:00	0.023051
11/30/1988 16:00:00	0.022211
12/30/1988 16:00:00	0.023185
1/31/1989 16:00:00	0.024259
2/28/1989 16:00:00	0.023811
3/31/1989 16:00:00	0.023966
4/28/1989 16:00:00	0.025737
5/31/1989 16:00:00	0.027413
6/30/1989 16:00:00	0.026015
7/31/1989 16:00:00	0.027129
8/31/1989 16:00:00	0.027968
9/29/1989 16:00:00	0.028397
10/31/1989 16:00:00	0.027790
11/30/1989 16:00:00	0.027891
12/29/1989 16:00:00	0.027694
1/31/1990 16:00:00	0.024866
2/28/1990 16:00:00	0.025496
3/30/1990 16:00:00	0.026013
4/30/1990 16:00:00	0.025009
5/31/1990 16:00:00	0.028559
6/29/1990 16:00:00	0.028707
7/31/1990 16:00:00	0.026769
8/31/1990 16:00:00	0.023085
9/28/1990 16:00:00	0.021023
10/31/1990 16:00:00	0.020387
11/30/1990 16:00:00	0.022650
12/31/1990 16:00:00	0.023482
1/31/1991 16:00:00	0.027088
2/28/1991 16:00:00	0.029030
3/28/1991 16:00:00	0.030614
4/30/1991 16:00:00	0.030324
5/31/1991 16:00:00	0.031936
6/28/1991 16:00:00	0.028970
7/31/1991 16:00:00	0.030869
8/30/1991 16:00:00	0.032444
9/30/1991 16:00:00	0.032318
10/31/1991 16:00:00	0.032713
11/29/1991 16:00:00	0.031711
12/31/1991 16:00:00	0.036674
1/31/1992 16:00:00	0.037322
2/28/1992 16:00:00	0.038000
3/31/1992 16:00:00	0.035322
4/30/1992 16:00:00	0.033507
5/29/1992 16:00:00	0.034168
6/30/1992 16:00:00	0.032487
7/31/1992 16:00:00	0.033370
8/31/1992 16:00:00	0.031975
9/30/1992 16:00:00	0.033310
10/30/1992 16:00:00	0.034842
11/30/1992 16:00:00	0.036990
12/31/1992 16:00:00	0.037781
1/29/1993 16:00:00	0.038701
2/26/1993 16:00:00	0.036521
3/31/1993 16:00:00	0.037196
4/30/1993 16:00:00	0.035020
5/28/1993 16:00:00	0.037758
6/30/1993 16:00:00	0.037375
7/30/1993 16:00:00	0.035857
8/31/1993 16:00:00	0.037687
9/30/1993 16:00:00	0.038529
10/29/1993 16:00:00	0.039182
11/30/1993 16:00:00	0.038582
12/31/1993 16:00:00	0.039542
1/31/1994 16:00:00	0.040915
2/28/1994 16:00:00	0.040567
3/31/1994 16:00:00	0.037504
4/29/1994 16:00:00	0.036402
5/31/1994 16:00:00	0.036780
6/30/1994 16:00:00	0.034812
7/29/1994 16:00:00	0.035609
8/31/1994 16:00:00	0.038088
9/30/1994 16:00:00	0.037528
10/31/1994 16:00:00	0.039179
11/30/1994 16:00:00	0.038223
12/30/1994 16:00:00	0.037997
1/31/1995 16:00:00	0.037923
2/28/1995 16:00:00	0.040299
3/31/1995 16:00:00	0.041457
4/28/1995 16:00:00	0.043355
5/31/1995 16:00:00	0.044852
6/30/1995 16:00:00	0.049206
7/31/1995 16:00:00	0.051802
8/31/1995 16:00:00	0.052259
9/29/1995 16:00:00	0.052782
10/31/1995 16:00:00	0.053760
11/30/1995 16:00:00	0.053063
12/29/1995 16:00:00	0.051276
1/31/1996 16:00:00	0.052412
2/29/1996 16:00:00	0.054920
